Site,DATE,TIME,AUTO ID*
RECCON,12/31/2020,17:52:21,NYCHUM
RECCON,1/7/2021,19:38:23,NoID
RECCON,1/12/2021,18:10:49,NoID
RECCON,1/13/2021,18:02:18,LASCIN
RECCON,1/14/2021,19:41:03,LASBOR
RECCON,1/19/2021,19:08:36,LASCIN
RECCON,1/19/2021,20:01:44,NoID
RECCON,1/19/2021,20:30:26,TADBRA
RECCON,1/21/2021,21:22:22,LASCIN
RECCON,1/21/2021,19:22:01,LASCIN
RECCON,1/21/2021,21:22:22,LASCIN
RECCON,1/21/2021,19:22:01,LASCIN
RECCON,1/21/2021,21:22:22,LASCIN
RECCON,1/21/2021,19:22:01,LASCIN
RECCON,1/22/2021,19:33:34,LASCIN
RECCON,1/22/2021,19:33:34,LASCIN
RECCON,1/22/2021,19:33:34,LASCIN
RECCON,1/22/2021,19:24:24,NoID
RECCON,1/22/2021,19:43:36,NoID
RECCON,1/22/2021,19:00:07,NoID
RECCON,1/22/2021,19:00:07,NoID
RECCON,1/22/2021,19:43:36,NoID
RECCON,1/22/2021,19:24:24,NoID
RECCON,1/22/2021,19:00:07,NoID
RECCON,1/22/2021,19:43:36,NoID
RECCON,1/22/2021,19:24:24,NoID
RECCON,1/23/2021,0:57:47,EPTFUS
RECCON,1/23/2021,0:57:47,EPTFUS
RECCON,1/23/2021,0:57:47,EPTFUS
RECCON,1/23/2021,0:59:52,LASNOC
RECCON,1/23/2021,0:59:52,LASNOC
RECCON,1/23/2021,0:59:52,LASNOC
RECCON,1/24/2021,18:07:42,NoID
RECCON,1/24/2021,18:07:42,NoID
RECCON,1/24/2021,18:07:42,NoID
RECCON,2/3/2021,18:01:55,LASCIN
RECCON,2/3/2021,18:01:55,LASCIN
RECCON,2/3/2021,18:01:55,LASCIN
RECCON,2/6/2021,18:28:25,LASCIN
RECCON,2/6/2021,18:28:25,LASCIN
RECCON,2/6/2021,18:28:25,LASCIN
RECCON,2/8/2021,18:04:03,LASCIN
RECCON,2/8/2021,18:04:03,LASCIN
RECCON,2/8/2021,18:04:03,LASCIN
RECCON,2/24/2021,18:45:04,EPTFUS
RECCON,2/24/2021,18:45:04,EPTFUS
RECCON,2/24/2021,19:24:10,LASCIN
RECCON,2/24/2021,19:24:10,LASCIN
RECCON,2/24/2021,20:05:56,NoID
RECCON,2/24/2021,20:05:56,NoID
RECCON,2/25/2021,6:32:32,NoID
RECCON,2/25/2021,6:32:32,NoID
RECCON,2/28/2021,19:35:51,EPTFUS
RECCON,2/28/2021,18:49:01,EPTFUS
RECCON,2/28/2021,19:35:51,EPTFUS
RECCON,2/28/2021,18:49:01,EPTFUS
RECCON,2/28/2021,19:23:47,LASBOR
RECCON,2/28/2021,19:23:47,LASBOR
RECCON,2/28/2021,20:06:23,LASCIN
RECCON,2/28/2021,20:38:14,LASCIN
RECCON,2/28/2021,20:19:33,LASCIN
RECCON,2/28/2021,20:06:23,LASCIN
RECCON,2/28/2021,20:38:14,LASCIN
RECCON,2/28/2021,20:19:33,LASCIN
RECCON,2/28/2021,20:13:55,NoID
RECCON,2/28/2021,20:22:31,NoID
RECCON,2/28/2021,21:02:37,NoID
RECCON,2/28/2021,23:03:05,NoID
RECCON,2/28/2021,22:40:52,NoID
RECCON,2/28/2021,21:05:56,NoID
RECCON,2/28/2021,20:13:55,NoID
RECCON,2/28/2021,20:22:31,NoID
RECCON,2/28/2021,21:02:37,NoID
RECCON,2/28/2021,23:03:05,NoID
RECCON,2/28/2021,22:40:52,NoID
RECCON,2/28/2021,21:05:56,NoID
RECCON,3/1/2021,18:50:00,NoID
RECCON,3/1/2021,18:50:00,NoID
RECCON,3/1/2021,18:57:49,NYCHUM
RECCON,3/1/2021,18:57:49,NYCHUM
RECCON,3/3/2021,18:56:12,LASBOR
RECCON,3/3/2021,18:56:12,LASBOR
RECCON,3/3/2021,19:31:00,LASCIN
RECCON,3/3/2021,19:31:00,LASCIN
RECCON,3/4/2021,18:20:10,LASCIN
RECCON,3/4/2021,18:20:10,LASCIN
RECCON,3/8/2021,19:11:58,LASBOR
RECCON,3/8/2021,19:24:45,LASBOR
RECCON,3/8/2021,19:11:58,LASBOR
RECCON,3/8/2021,19:24:45,LASBOR
RECCON,3/8/2021,20:06:10,LASCIN
RECCON,3/8/2021,19:53:17,LASCIN
RECCON,3/8/2021,20:09:53,LASCIN
RECCON,3/8/2021,21:45:43,LASCIN
RECCON,3/8/2021,19:51:24,LASCIN
RECCON,3/8/2021,19:59:37,LASCIN
RECCON,3/8/2021,23:00:09,LASCIN
RECCON,3/8/2021,20:06:10,LASCIN
RECCON,3/8/2021,19:53:17,LASCIN
RECCON,3/8/2021,20:09:53,LASCIN
RECCON,3/8/2021,21:45:43,LASCIN
RECCON,3/8/2021,19:51:24,LASCIN
RECCON,3/8/2021,19:59:37,LASCIN
RECCON,3/8/2021,23:00:09,LASCIN
RECCON,3/8/2021,18:55:19,NoID
RECCON,3/8/2021,18:59:58,NoID
RECCON,3/8/2021,20:13:54,NoID
RECCON,3/8/2021,18:55:19,NoID
RECCON,3/8/2021,18:59:58,NoID
RECCON,3/8/2021,20:13:54,NoID
RECCON,3/8/2021,19:23:31,NYCHUM
RECCON,3/8/2021,19:23:45,NYCHUM
RECCON,3/8/2021,19:23:31,NYCHUM
RECCON,3/8/2021,19:23:45,NYCHUM
RECCON,3/9/2021,19:06:23,EPTFUS
RECCON,3/9/2021,18:39:21,EPTFUS
RECCON,3/9/2021,19:06:23,EPTFUS
RECCON,3/9/2021,18:39:21,EPTFUS
RECCON,3/9/2021,19:36:40,LASBOR
RECCON,3/9/2021,19:44:58,LASBOR
RECCON,3/9/2021,19:33:24,LASBOR
RECCON,3/9/2021,19:36:40,LASBOR
RECCON,3/9/2021,19:44:58,LASBOR
RECCON,3/9/2021,19:33:24,LASBOR
RECCON,3/9/2021,22:15:25,LASCIN
RECCON,3/9/2021,19:58:02,LASCIN
RECCON,3/9/2021,22:15:25,LASCIN
RECCON,3/9/2021,19:58:02,LASCIN
RECCON,3/9/2021,18:40:10,NoID
RECCON,3/9/2021,19:08:42,NoID
RECCON,3/9/2021,19:05:44,NoID
RECCON,3/9/2021,20:14:49,NoID
RECCON,3/9/2021,19:29:02,NoID
RECCON,3/9/2021,22:02:45,NoID
RECCON,3/9/2021,23:01:05,NoID
RECCON,3/9/2021,22:02:33,NoID
