date_processed,who_processed,date_set,date_collected,time_set,time_collected,site,habitat,microhabitat,taxon,abundance,wet_weight,wet_weight_unit,note,correction
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,wetland,for_side,diptera,2,6,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,stream,pool,diptera,9,11,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,stream,riffle,diptera,75,54,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,wetland,road_side,diptera,4,16,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,stream,pool,other,5,2,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,14:21:00,13:14:00,st1,stream,riffle,other,11,3,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,wetland,closed,diptera,1,1,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:34:00,st2,wetland,open,diptera,1,1,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,stream,pool,diptera,31,36,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,wetland,closed,other,3,5,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:34:00,st2,wetland,open,other,1,1,mg,,
3/25/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,stream,pool,other,3,4,mg,,
4/1/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,stream,riffle,diptera,756,456,mg,,
4/1/2021,zaria_bopp,3/2/2021,3/9/2021,15:11:00,13:42:00,st2,stream,riffle,other,40,11,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,stream,riffle,other,19,232,mg,,8/7/21 AT abundance correct
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,wetland,for_side,other,2,4,mg,,8/7/21 AT taxon correct
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,pool,diptera,15,2,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,stream,pool,other,5,8,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,13:59:00,16:15:00,st1,wetland,road_side,other,6,7,mg,,8/7/21 AT taxon correct
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,stream,riffle,caddisfly,2,11,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,14:38:00,16:45:00,st2,stream,riffle,diptera,100,22,mg,,
4/15/2021,zaria_bopp,4/6/2021,4/8/2021,15:01:00,17:00:00,st3,stream,pool,caddisfly,1,8,mg,,
