#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10177893, SEN S/N: 10177893)",Coupler Detached (LGR S/N: 10177893),Coupler Attached (LGR S/N: 10177893),Host Connected (LGR S/N: 10177893),Stopped (LGR S/N: 10177893),End Of File (LGR S/N: 10177893)
1,4/9/2021 0:00,16.773,Logged,,,,
2,4/9/2021 0:30,16.677,,,,,
3,4/9/2021 1:00,16.558,,,,,
4,4/9/2021 1:30,16.463,,,,,
5,4/9/2021 2:00,16.344,,,,,
6,4/9/2021 2:30,16.249,,,,,
7,4/9/2021 3:00,16.153,,,,,
8,4/9/2021 3:30,16.058,,,,,
9,4/9/2021 4:00,15.963,,,,,
10,4/9/2021 4:30,15.867,,,,,
11,4/9/2021 5:00,15.772,,,,,
12,4/9/2021 5:30,15.676,,,,,
13,4/9/2021 6:00,15.605,,,,,
14,4/9/2021 6:30,15.533,,,,,
15,4/9/2021 7:00,15.438,,,,,
16,4/9/2021 7:30,15.366,,,,,
17,4/9/2021 8:00,15.366,,,,,
18,4/9/2021 8:30,15.39,,,,,
19,4/9/2021 9:00,15.485,,,,,
20,4/9/2021 9:30,15.581,,,,,
21,4/9/2021 10:00,15.748,,,,,
22,4/9/2021 10:30,16.034,,,,,
23,4/9/2021 11:00,16.368,,,,,
24,4/9/2021 11:30,16.701,,,,,
25,4/9/2021 12:00,17.32,,,,,
26,4/9/2021 12:30,17.796,,,,,
27,4/9/2021 13:00,18.152,,,,,
28,4/9/2021 13:30,18.628,,,,,
29,4/9/2021 14:00,19.341,,,,,
30,4/9/2021 14:30,19.199,,,,,
31,4/9/2021 15:00,19.555,,,,,
32,4/9/2021 15:30,20.174,,,,,
33,4/9/2021 16:00,20.603,,,,,
34,4/9/2021 16:30,20.031,,,,,
35,4/9/2021 17:00,19.912,,,,,
36,4/9/2021 17:30,19.746,,,,,
37,4/9/2021 18:00,19.555,,,,,
38,4/9/2021 18:30,19.389,,,,,
39,4/9/2021 19:00,19.151,,,,,
40,4/9/2021 19:30,18.913,,,,,
41,4/9/2021 20:00,18.652,,,,,
42,4/9/2021 20:30,16.63,,,,,
43,4/9/2021 21:00,16.796,,,,,
44,4/9/2021 21:30,16.773,,,,,
45,4/9/2021 22:00,16.796,,,,,
46,4/9/2021 22:30,16.773,,,,,
47,4/9/2021 23:00,16.654,,,,,
48,4/9/2021 23:30,16.558,,,,,
49,4/10/2021 0:00,16.463,,,,,
50,4/10/2021 0:30,16.368,,,,,
51,4/10/2021 1:00,16.249,,,,,
52,4/10/2021 1:30,16.153,,,,,
53,4/10/2021 2:00,16.082,,,,,
54,4/10/2021 2:30,15.986,,,,,
55,4/10/2021 3:00,15.915,,,,,
56,4/10/2021 3:30,15.843,,,,,
57,4/10/2021 4:00,15.772,,,,,
58,4/10/2021 4:30,15.724,,,,,
59,4/10/2021 5:00,15.652,,,,,
60,4/10/2021 5:30,15.605,,,,,
61,4/10/2021 6:00,15.557,,,,,
62,4/10/2021 6:30,15.509,,,,,
63,4/10/2021 7:00,15.461,,,,,
64,4/10/2021 7:30,15.414,,,,,
65,4/10/2021 8:00,15.39,,,,,
66,4/10/2021 8:30,15.438,,,,,
67,4/10/2021 9:00,15.509,,,,,
68,4/10/2021 9:30,15.629,,,,,
69,4/10/2021 10:00,15.748,,,,,
70,4/10/2021 10:30,15.986,,,,,
71,4/10/2021 11:00,16.225,,,,,
72,4/10/2021 11:30,16.415,,,,,
73,4/10/2021 12:00,16.725,,,,,
74,4/10/2021 12:30,16.796,,,,,
75,4/10/2021 13:00,17.034,,,,,
76,4/10/2021 13:30,17.225,,,,,
77,4/10/2021 14:00,17.463,,,,,
78,4/10/2021 14:30,17.677,,,,,
79,4/10/2021 15:00,17.891,,,,,
80,4/10/2021 15:30,18.152,,,,,
81,4/10/2021 16:00,18.105,,,,,
82,4/10/2021 16:30,17.986,,,,,
83,4/10/2021 17:00,17.867,,,,,
84,4/10/2021 17:30,17.772,,,,,
85,4/10/2021 18:00,17.629,,,,,
86,4/10/2021 18:30,19.936,,,,,
87,4/10/2021 19:00,19.722,,,,,
88,4/10/2021 19:30,19.246,,,,,
89,4/10/2021 20:00,18.961,,,,,
90,4/10/2021 20:30,18.723,,,,,
91,4/10/2021 21:00,18.533,,,,,
92,4/10/2021 21:30,18.343,,,,,
93,4/10/2021 22:00,18.152,,,,,
94,4/10/2021 22:30,17.891,,,,,
95,4/10/2021 23:00,17.724,,,,,
96,4/10/2021 23:30,17.891,,,,,
97,4/11/2021 0:00,18.438,,,,,
98,4/11/2021 0:30,18.224,,,,,
99,4/11/2021 1:00,18.01,,,,,
100,4/11/2021 1:30,17.843,,,,,
101,4/11/2021 2:00,17.677,,,,,
102,4/11/2021 2:30,17.51,,,,,
103,4/11/2021 3:00,17.368,,,,,
104,4/11/2021 3:30,17.225,,,,,
105,4/11/2021 4:00,17.082,,,,,
106,4/11/2021 4:30,16.987,,,,,
107,4/11/2021 5:00,16.892,,,,,
108,4/11/2021 5:30,16.796,,,,,
109,4/11/2021 6:00,16.725,,,,,
110,4/11/2021 6:30,16.654,,,,,
111,4/11/2021 7:00,16.582,,,,,
112,4/11/2021 7:30,16.511,,,,,
113,4/11/2021 8:00,16.487,,,,,
114,4/11/2021 8:30,16.511,,,,,
115,4/11/2021 9:00,16.534,,,,,
116,4/11/2021 9:30,16.606,,,,,
117,4/11/2021 10:00,16.701,,,,,
118,4/11/2021 10:30,16.844,,,,,
119,4/11/2021 11:00,17.034,,,,,
120,4/11/2021 11:30,17.249,,,,,
121,4/11/2021 12:00,17.677,,,,,
122,4/11/2021 12:30,17.748,,,,,
123,4/11/2021 13:00,18.057,,,,,
124,4/11/2021 13:30,18.247,,,,,
125,4/11/2021 14:00,18.461,,,,,
126,4/11/2021 14:30,18.58,,,,,
127,4/11/2021 15:00,18.818,,,,,
128,4/11/2021 15:30,19.199,,,,,
129,4/11/2021 16:00,19.389,,,,,
130,4/11/2021 16:30,18.842,,,,,
131,4/11/2021 17:00,18.652,,,,,
132,4/11/2021 17:30,18.461,,,,,
133,4/11/2021 18:00,18.271,,,,,
134,4/11/2021 18:30,18.105,,,,,
135,4/11/2021 19:00,17.891,,,,,
136,4/11/2021 19:30,17.701,,,,,
137,4/11/2021 20:00,17.486,,,,,
138,4/11/2021 20:30,17.296,,,,,
139,4/11/2021 21:00,17.106,,,,,
140,4/11/2021 21:30,16.939,,,,,
141,4/11/2021 22:00,16.749,,,,,
142,4/11/2021 22:30,16.606,,,,,
143,4/11/2021 23:00,16.463,,,,,
144,4/11/2021 23:30,16.344,,,,,
145,4/12/2021 0:00,16.225,,,,,
146,4/12/2021 0:30,16.082,,,,,
147,4/12/2021 1:00,15.963,,,,,
148,4/12/2021 1:30,15.843,,,,,
149,4/12/2021 2:00,15.748,,,,,
150,4/12/2021 2:30,15.605,,,,,
151,4/12/2021 3:00,15.485,,,,,
152,4/12/2021 3:30,15.366,,,,,
153,4/12/2021 4:00,15.27,,,,,
154,4/12/2021 4:30,15.151,,,,,
155,4/12/2021 5:00,15.055,,,,,
156,4/12/2021 5:30,14.936,,,,,
157,4/12/2021 6:00,14.84,,,,,
158,4/12/2021 6:30,14.721,,,,,
159,4/12/2021 7:00,14.601,,,,,
160,4/12/2021 7:30,14.529,,,,,
161,4/12/2021 8:00,14.481,,,,,
162,4/12/2021 8:30,14.481,,,,,
163,4/12/2021 9:00,14.577,,,,,
164,4/12/2021 9:30,14.697,,,,,
165,4/12/2021 10:00,14.864,,,,,
166,4/12/2021 10:30,15.079,,,,,
167,4/12/2021 11:00,15.342,,,,,
168,4/12/2021 11:30,15.557,,,,,
169,4/12/2021 12:00,15.986,,,,,
170,4/12/2021 12:30,16.344,,,,,
171,4/12/2021 13:00,16.677,,,,,
172,4/12/2021 13:30,17.082,,,,,
173,4/12/2021 14:00,17.439,,,,,
174,4/12/2021 14:30,17.605,,,,,
175,4/12/2021 15:00,17.962,,,,,
176,4/12/2021 15:30,18.319,,,,,
177,4/12/2021 16:00,18.557,,,,,
178,4/12/2021 16:30,18.366,,,,,
179,4/12/2021 17:00,18.224,,,,,
180,4/12/2021 17:30,18.081,,,,,
181,4/12/2021 18:00,17.938,,,,,
182,4/12/2021 18:30,17.796,,,,,
183,4/12/2021 19:00,17.629,,,,,
184,4/12/2021 19:30,17.463,,,,,
185,4/12/2021 20:00,17.272,,,,,
186,4/12/2021 20:30,17.082,,,,,
187,4/12/2021 21:00,16.915,,,,,
188,4/12/2021 21:30,16.773,,,,,
189,4/12/2021 22:00,16.654,,,,,
190,4/12/2021 22:30,16.511,,,,,
191,4/12/2021 23:00,16.368,,,,,
192,4/12/2021 23:30,16.225,,,,,
193,4/13/2021 0:00,16.082,,,,,
194,4/13/2021 0:30,15.963,,,,,
195,4/13/2021 1:00,15.819,,,,,
196,4/13/2021 1:30,15.7,,,,,
197,4/13/2021 2:00,15.605,,,,,
198,4/13/2021 2:30,15.485,,,,,
199,4/13/2021 3:00,15.39,,,,,
200,4/13/2021 3:30,15.294,,,,,
201,4/13/2021 4:00,15.199,,,,,
202,4/13/2021 4:30,15.127,,,,,
203,4/13/2021 5:00,15.079,,,,,
204,4/13/2021 5:30,14.984,,,,,
205,4/13/2021 6:00,14.912,,,,,
206,4/13/2021 6:30,14.864,,,,,
207,4/13/2021 7:00,14.816,,,,,
208,4/13/2021 7:30,14.768,,,,,
209,4/13/2021 8:00,14.745,,,,,
210,4/13/2021 8:30,14.745,,,,,
211,4/13/2021 9:00,14.745,,,,,
212,4/13/2021 9:30,14.816,,,,,
213,4/13/2021 10:00,14.912,,,,,
214,4/13/2021 10:30,15.079,,,,,
215,4/13/2021 11:00,15.247,,,,,
216,4/13/2021 11:30,15.39,,,,,
217,4/13/2021 12:00,15.605,,,,,
218,4/13/2021 12:30,15.819,,,,,
219,4/13/2021 13:00,15.986,,,,,
220,4/13/2021 13:30,16.225,,,,,
221,4/13/2021 14:00,16.344,,,,,
222,4/13/2021 14:30,16.558,,,,,
223,4/13/2021 15:00,16.701,,,,,
224,4/13/2021 15:30,16.82,,,,,
225,4/13/2021 16:00,16.939,,,,,
226,4/13/2021 16:30,17.011,,,,,
227,4/13/2021 17:00,16.987,,,,,
228,4/13/2021 17:30,16.892,,,,,
229,4/13/2021 18:00,16.915,,,,,
230,4/13/2021 18:30,16.844,,,,,
231,4/13/2021 19:00,16.82,,,,,
232,4/13/2021 19:30,16.749,,,,,
233,4/13/2021 20:00,16.677,,,,,
234,4/13/2021 20:30,16.606,,,,,
235,4/13/2021 21:00,16.534,,,,,
236,4/13/2021 21:30,16.463,,,,,
237,4/13/2021 22:00,16.392,,,,,
238,4/13/2021 22:30,16.296,,,,,
239,4/13/2021 23:00,16.201,,,,,
240,4/13/2021 23:30,16.106,,,,,
241,4/14/2021 0:00,16.01,,,,,
242,4/14/2021 0:30,15.891,,,,,
243,4/14/2021 1:00,15.772,,,,,
244,4/14/2021 1:30,15.676,,,,,
245,4/14/2021 2:00,15.557,,,,,
246,4/14/2021 2:30,15.438,,,,,
247,4/14/2021 3:00,15.342,,,,,
248,4/14/2021 3:30,15.247,,,,,
249,4/14/2021 4:00,15.151,,,,,
250,4/14/2021 4:30,15.079,,,,,
251,4/14/2021 5:00,15.008,,,,,
252,4/14/2021 5:30,14.936,,,,,
253,4/14/2021 6:00,14.864,,,,,
254,4/14/2021 6:30,14.816,,,,,
255,4/14/2021 7:00,14.768,,,,,
256,4/14/2021 7:30,14.721,,,,,
257,4/14/2021 8:00,14.721,,,,,
258,4/14/2021 8:30,14.768,,,,,
259,4/14/2021 9:00,14.84,,,,,
260,4/14/2021 9:30,14.936,,,,,
261,4/14/2021 10:00,15.103,,,,,
262,4/14/2021 10:30,15.318,,,,,
263,4/14/2021 11:00,15.557,,,,,
264,4/14/2021 11:30,15.843,,,,,
265,4/14/2021 12:00,16.082,,,,,
266,4/14/2021 12:30,16.368,,,,,
267,4/14/2021 13:00,16.606,,,,,
268,4/14/2021 13:30,16.915,,,,,
269,4/14/2021 14:00,17.249,,,,,
270,4/14/2021 14:30,17.51,,,,,
271,4/14/2021 15:00,17.701,,,,,
272,4/14/2021 15:30,17.796,,,,,
273,4/14/2021 16:00,17.938,,,,,
274,4/14/2021 16:30,18.057,,,,,
275,4/14/2021 17:00,18.033,,,,,
276,4/14/2021 17:30,17.986,,,,,
277,4/14/2021 18:00,17.938,,,,,
278,4/14/2021 18:30,17.867,,,,,
279,4/14/2021 19:00,17.796,,,,,
280,4/14/2021 19:30,17.724,,,,,
281,4/14/2021 20:00,17.629,,,,,
282,4/14/2021 20:30,17.534,,,,,
283,4/14/2021 21:00,17.439,,,,,
284,4/14/2021 21:30,17.344,,,,,
285,4/14/2021 22:00,17.249,,,,,
286,4/14/2021 22:30,17.13,,,,,
287,4/14/2021 23:00,17.011,,,,,
288,4/14/2021 23:30,16.796,,,,,
289,4/15/2021 0:00,16.606,,,,,
290,4/15/2021 0:30,16.558,,,,,
291,4/15/2021 1:00,16.534,,,,,
292,4/15/2021 1:30,16.511,,,,,
293,4/15/2021 2:00,16.511,,,,,
294,4/15/2021 2:30,16.487,,,,,
295,4/15/2021 3:00,16.463,,,,,
296,4/15/2021 3:30,16.415,,,,,
297,4/15/2021 4:00,16.392,,,,,
298,4/15/2021 4:30,16.344,,,,,
299,4/15/2021 5:00,16.296,,,,,
300,4/15/2021 5:30,16.225,,,,,
301,4/15/2021 6:00,16.153,,,,,
302,4/15/2021 6:30,16.082,,,,,
303,4/15/2021 7:00,16.01,,,,,
304,4/15/2021 7:30,15.939,,,,,
305,4/15/2021 8:00,15.891,,,,,
306,4/15/2021 8:30,15.843,,,,,
307,4/15/2021 9:00,15.819,,,,,
308,4/15/2021 9:30,15.796,,,,,
309,4/15/2021 10:00,15.748,,,,,
310,4/15/2021 10:30,15.772,,,,,
311,4/15/2021 11:00,15.843,,,,,
312,4/15/2021 11:30,15.939,,,,,
313,4/15/2021 12:00,16.201,,,,,
314,4/15/2021 12:30,16.225,,,,,
315,4/15/2021 13:00,16.272,,,,,
316,4/15/2021 13:30,16.368,,,,,
317,4/15/2021 14:00,16.368,,,,,
318,4/15/2021 14:30,16.487,,,,,
319,4/15/2021 15:00,16.534,,,,,
320,4/15/2021 15:30,16.701,,,,,
321,4/15/2021 16:00,16.844,,,,,
322,4/15/2021 16:30,16.677,,,,,
323,4/15/2021 17:00,16.63,,,,,
324,4/15/2021 17:30,16.558,,,,,
325,4/15/2021 18:00,16.511,,,,,
326,4/15/2021 18:30,16.415,,,,,
327,4/15/2021 19:00,16.296,,,,,
328,4/15/2021 19:30,16.177,,,,,
329,4/15/2021 20:00,16.034,,,,,
330,4/15/2021 20:30,15.891,,,,,
331,4/15/2021 21:00,15.772,,,,,
332,4/15/2021 21:30,15.629,,,,,
333,4/15/2021 22:00,15.461,,,,,
334,4/15/2021 22:30,15.294,,,,,
335,4/15/2021 23:00,15.151,,,,,
336,4/15/2021 23:30,15.008,,,,,
337,4/16/2021 0:00,14.864,,,,,
338,4/16/2021 0:30,14.697,,,,,
339,4/16/2021 1:00,14.553,,,,,
340,4/16/2021 1:30,14.385,,,,,
341,4/16/2021 2:00,14.194,,,,,
342,4/16/2021 2:30,14.05,,,,,
343,4/16/2021 3:00,13.882,,,,,
344,4/16/2021 3:30,13.714,,,,,
345,4/16/2021 4:00,13.546,,,,,
346,4/16/2021 4:30,13.353,,,,,
347,4/16/2021 5:00,13.161,,,,,
348,4/16/2021 5:30,13.016,,,,,
349,4/16/2021 6:00,12.823,,,,,
350,4/16/2021 6:30,12.703,,,,,
351,4/16/2021 7:00,12.534,,,,,
352,4/16/2021 7:30,12.413,,,,,
353,4/16/2021 8:00,12.364,,,,,
354,4/16/2021 8:30,12.364,,,,,
355,4/16/2021 9:00,12.413,,,,,
356,4/16/2021 9:30,12.485,,,,,
357,4/16/2021 10:00,12.582,,,,,
358,4/16/2021 10:30,12.727,,,,,
359,4/16/2021 11:00,12.92,,,,,
360,4/16/2021 11:30,13.161,,,,,
361,4/16/2021 12:00,13.497,,,,,
362,4/16/2021 12:30,13.69,,,,,
363,4/16/2021 13:00,13.858,,,,,
364,4/16/2021 13:30,14.194,,,,,
365,4/16/2021 14:00,14.601,,,,,
366,4/16/2021 14:30,14.601,,,,,
367,4/16/2021 15:00,14.816,,,,,
368,4/16/2021 15:30,15.27,,,,,
369,4/16/2021 16:00,15.7,,,,,
370,4/16/2021 16:30,15.557,,,,,
371,4/16/2021 17:00,15.533,,,,,
372,4/16/2021 17:30,15.485,,,,,
373,4/16/2021 18:00,15.438,,,,,
374,4/16/2021 18:30,15.39,,,,,
375,4/16/2021 19:00,15.318,,,,,
376,4/16/2021 19:30,15.223,,,,,
377,4/16/2021 20:00,15.103,,,,,
378,4/16/2021 20:30,15.008,,,,,
379,4/16/2021 21:00,14.888,,,,,
380,4/16/2021 21:30,14.768,,,,,
381,4/16/2021 22:00,14.625,,,,,
382,4/16/2021 22:30,14.481,,,,,
383,4/16/2021 23:00,14.385,,,,,
384,4/16/2021 23:30,14.266,,,,,
385,4/17/2021 0:00,14.122,,,,,
386,4/17/2021 0:30,14.026,,,,,
387,4/17/2021 1:00,13.93,,,,,
388,4/17/2021 1:30,13.858,,,,,
389,4/17/2021 2:00,13.786,,,,,
390,4/17/2021 2:30,13.666,,,,,
391,4/17/2021 3:00,13.594,,,,,
392,4/17/2021 3:30,13.497,,,,,
393,4/17/2021 4:00,13.401,,,,,
394,4/17/2021 4:30,13.329,,,,,
395,4/17/2021 5:00,13.185,,,,,
396,4/17/2021 5:30,13.04,,,,,
397,4/17/2021 6:00,12.92,,,,,
398,4/17/2021 6:30,12.823,,,,,
399,4/17/2021 7:00,12.727,,,,,
400,4/17/2021 7:30,12.654,,,,,
401,4/17/2021 8:00,12.63,,,,,
402,4/17/2021 8:30,12.654,,,,,
403,4/17/2021 9:00,12.678,,,,,
404,4/17/2021 9:30,12.775,,,,,
405,4/17/2021 10:00,12.92,,,,,
406,4/17/2021 10:30,13.04,,,,,
407,4/17/2021 11:00,13.329,,,,,
408,4/17/2021 11:30,13.425,,,,,
409,4/17/2021 12:00,14.002,,,,,
410,4/17/2021 12:30,13.786,,,,,
411,4/17/2021 13:00,14.05,,,,,
412,4/17/2021 13:30,14.146,,,,,
413,4/17/2021 14:00,14.218,,,,,
414,4/17/2021 14:30,14.409,,,,,
415,4/17/2021 15:00,14.505,,,,,
416,4/17/2021 15:30,14.553,,,,,
417,4/17/2021 16:00,14.697,,,,,
418,4/17/2021 16:30,14.721,,,,,
419,4/17/2021 17:00,14.745,,,,,
420,4/17/2021 17:30,14.768,,,,,
421,4/17/2021 18:00,14.745,,,,,
422,4/17/2021 18:30,14.745,,,,,
423,4/17/2021 19:00,14.721,,,,,
424,4/17/2021 19:30,14.673,,,,,
425,4/17/2021 20:00,14.625,,,,,
426,4/17/2021 20:30,14.553,,,,,
427,4/17/2021 21:00,14.505,,,,,
428,4/17/2021 21:30,14.433,,,,,
429,4/17/2021 22:00,14.385,,,,,
430,4/17/2021 22:30,14.337,,,,,
431,4/17/2021 23:00,14.29,,,,,
432,4/17/2021 23:30,14.266,,,,,
433,4/18/2021 0:00,14.218,,,,,
434,4/18/2021 0:30,14.194,,,,,
435,4/18/2021 1:00,14.146,,,,,
436,4/18/2021 1:30,14.122,,,,,
437,4/18/2021 2:00,14.098,,,,,
438,4/18/2021 2:30,14.026,,,,,
439,4/18/2021 3:00,13.978,,,,,
440,4/18/2021 3:30,13.954,,,,,
441,4/18/2021 4:00,13.906,,,,,
442,4/18/2021 4:30,13.834,,,,,
443,4/18/2021 5:00,13.762,,,,,
444,4/18/2021 5:30,13.69,,,,,
445,4/18/2021 6:00,13.594,,,,,
446,4/18/2021 6:30,13.522,,,,,
447,4/18/2021 7:00,13.425,,,,,
448,4/18/2021 7:30,13.329,,,,,
449,4/18/2021 8:00,13.305,,,,,
450,4/18/2021 8:30,13.305,,,,,
451,4/18/2021 9:00,13.329,,,,,
452,4/18/2021 9:30,13.377,,,,,
453,4/18/2021 10:00,13.449,,,,,
454,4/18/2021 10:30,13.594,,,,,
455,4/18/2021 11:00,13.858,,,,,
456,4/18/2021 11:30,14.266,,,,,
457,4/18/2021 12:00,14.84,,,,,
458,4/18/2021 12:30,14.577,,,,,
459,4/18/2021 13:00,14.721,,,,,
460,4/18/2021 13:30,14.96,,,,,
461,4/18/2021 14:00,15.008,,,,,
462,4/18/2021 14:30,15.079,,,,,
463,4/18/2021 15:00,15.342,,,,,
464,4/18/2021 15:30,15.438,,,,,
465,4/18/2021 16:00,16.01,,,,,
466,4/18/2021 16:30,15.581,,,,,
467,4/18/2021 17:00,15.581,,,,,
468,4/18/2021 17:30,15.557,,,,,
469,4/18/2021 18:00,15.557,,,,,
470,4/18/2021 18:30,15.533,,,,,
471,4/18/2021 19:00,15.509,,,,,
472,4/18/2021 19:30,15.461,,,,,
473,4/18/2021 20:00,15.39,,,,,
474,4/18/2021 20:30,15.294,,,,,
475,4/18/2021 21:00,15.223,,,,,
476,4/18/2021 21:30,15.103,,,,,
477,4/18/2021 22:00,14.984,,,,,
478,4/18/2021 22:30,14.864,,,,,
479,4/18/2021 23:00,14.745,,,,,
480,4/18/2021 23:30,14.625,,,,,
481,4/19/2021 0:00,14.481,,,,,
482,4/19/2021 0:30,14.385,,,,,
483,4/19/2021 1:00,14.266,,,,,
484,4/19/2021 1:30,14.146,,,,,
485,4/19/2021 2:00,14.074,,,,,
486,4/19/2021 2:30,13.978,,,,,
487,4/19/2021 3:00,13.93,,,,,
488,4/19/2021 3:30,13.882,,,,,
489,4/19/2021 4:00,13.834,,,,,
490,4/19/2021 4:30,13.786,,,,,
491,4/19/2021 5:00,13.762,,,,,
492,4/19/2021 5:30,13.738,,,,,
493,4/19/2021 6:00,13.666,,,,,
494,4/19/2021 6:30,13.618,,,,,
495,4/19/2021 7:00,13.546,,,,,
496,4/19/2021 7:30,13.497,,,,,
497,4/19/2021 8:00,13.449,,,,,
498,4/19/2021 8:30,13.449,,,,,
499,4/19/2021 9:00,13.425,,,,,
500,4/19/2021 9:30,13.473,,,,,
501,4/19/2021 10:00,13.522,,,,,
502,4/19/2021 10:30,13.473,,,,,
503,4/19/2021 11:00,13.57,,,,,
504,4/19/2021 11:30,13.69,,,,,
505,4/19/2021 12:00,13.642,,,,,
506,4/19/2021 12:30,13.666,,,,,
507,4/19/2021 13:00,14.098,,,,,
508,4/19/2021 13:30,14.361,,,,,
509,4/19/2021 14:00,15.629,,,,,
510,4/19/2021 14:30,14.409,,,,,
511,4/19/2021 15:00,15.031,,,,,
512,4/19/2021 15:30,15.414,,,,,
513,4/19/2021 16:00,15.485,,,,,
514,4/19/2021 16:30,15.247,,,,,
515,4/19/2021 17:00,15.318,,,,,
516,4/19/2021 17:30,15.318,,,,,
517,4/19/2021 18:00,15.27,,,,,
518,4/19/2021 18:30,15.223,,,,,
519,4/19/2021 19:00,15.199,,,,,
520,4/19/2021 19:30,15.151,,,,,
521,4/19/2021 20:00,15.079,,,,,
522,4/19/2021 20:30,15.008,,,,,
523,4/19/2021 21:00,14.912,,,,,
524,4/19/2021 21:30,14.792,,,,,
525,4/19/2021 22:00,14.673,,,,,
526,4/19/2021 22:30,14.529,,,,,
527,4/19/2021 23:00,14.409,,,,,
528,4/19/2021 23:30,14.266,,,,,
529,4/20/2021 0:00,14.122,,,,,
530,4/20/2021 0:30,14.002,,,,,
531,4/20/2021 1:00,13.882,,,,,
532,4/20/2021 1:30,13.762,,,,,
533,4/20/2021 2:00,13.642,,,,,
534,4/20/2021 2:30,13.522,,,,,
535,4/20/2021 3:00,13.401,,,,,
536,4/20/2021 3:30,13.305,,,,,
537,4/20/2021 4:00,13.185,,,,,
538,4/20/2021 4:30,13.112,,,,,
539,4/20/2021 5:00,12.992,,,,,
540,4/20/2021 5:30,12.92,,,,,
541,4/20/2021 6:00,12.823,,,,,
542,4/20/2021 6:30,12.727,,,,,
543,4/20/2021 7:00,12.654,,,,,
544,4/20/2021 7:30,12.582,,,,,
545,4/20/2021 8:00,12.582,,,,,
546,4/20/2021 8:30,12.606,,,,,
547,4/20/2021 9:00,12.703,,,,,
548,4/20/2021 9:30,12.823,,,,,
549,4/20/2021 10:00,12.944,,,,,
550,4/20/2021 10:30,13.137,,,,,
551,4/20/2021 11:00,13.522,,,,,
552,4/20/2021 11:30,14.146,,,,,
553,4/20/2021 12:00,14.792,,,,,
554,4/20/2021 12:30,14.673,,,,,
555,4/20/2021 13:00,14.792,,,,,
556,4/20/2021 13:30,15.294,,,,,
557,4/20/2021 14:00,15.986,,,,,
558,4/20/2021 14:30,15.294,,,,,
559,4/20/2021 15:00,15.7,,,,,
560,4/20/2021 15:30,16.129,,,,,
561,4/20/2021 16:00,15.986,,,,,
562,4/20/2021 16:30,15.939,,,,,
563,4/20/2021 17:00,15.986,,,,,
564,4/20/2021 17:30,15.915,,,,,
565,4/20/2021 18:00,15.891,,,,,
566,4/20/2021 18:30,15.867,,,,,
567,4/20/2021 19:00,15.796,,,,,
568,4/20/2021 19:30,15.772,,,,,
569,4/20/2021 20:00,15.7,,,,,
570,4/20/2021 20:30,15.652,,,,,
571,4/20/2021 21:00,15.605,,,,,
572,4/20/2021 21:30,15.509,,,,,
573,4/20/2021 22:00,15.414,,,,,
574,4/20/2021 22:30,15.318,,,,,
575,4/20/2021 23:00,15.247,,,,,
576,4/20/2021 23:30,15.151,,,,,
577,4/21/2021 0:00,15.079,,,,,
578,4/21/2021 0:30,15.008,,,,,
579,4/21/2021 1:00,14.936,,,,,
580,4/21/2021 1:30,14.864,,,,,
581,4/21/2021 2:00,14.792,,,,,
582,4/21/2021 2:30,14.745,,,,,
583,4/21/2021 3:00,14.697,,,,,
584,4/21/2021 3:30,14.649,,,,,
585,4/21/2021 4:00,14.601,,,,,
586,4/21/2021 4:30,14.529,,,,,
587,4/21/2021 5:00,14.481,,,,,
588,4/21/2021 5:30,14.433,,,,,
589,4/21/2021 6:00,14.385,,,,,
590,4/21/2021 6:30,14.337,,,,,
591,4/21/2021 7:00,14.314,,,,,
592,4/21/2021 7:30,14.29,,,,,
593,4/21/2021 8:00,14.29,,,,,
594,4/21/2021 8:30,14.314,,,,,
595,4/21/2021 9:00,14.385,,,,,
596,4/21/2021 9:30,14.457,,,,,
597,4/21/2021 10:00,14.553,,,,,
598,4/21/2021 10:30,14.673,,,,,
599,4/21/2021 11:00,15.175,,,,,
600,4/21/2021 11:30,15.318,,,,,
601,4/21/2021 12:00,15.986,,,,,
602,4/21/2021 12:30,15.533,,,,,
603,4/21/2021 13:00,15.652,,,,,
604,4/21/2021 13:30,16.63,,,,,
605,4/21/2021 14:00,16.392,,,,,
