#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10177893, SEN S/N: 10177893)",Coupler Detached (LGR S/N: 10177893),Coupler Attached (LGR S/N: 10177893),Host Connected (LGR S/N: 10177893),Bad Battery (LGR S/N: 10177893),End Of File (LGR S/N: 10177893)
1,8/6/2021 10:00,20.103,Logged,,,,
2,8/6/2021 10:30,20.174,,,,,
3,8/6/2021 11:00,20.269,,,,,
4,8/6/2021 11:30,20.365,,,,,
5,8/6/2021 12:00,20.507,,,,,
6,8/6/2021 12:30,20.65,,,,,
7,8/6/2021 13:00,20.913,,,,,
8,8/6/2021 13:30,20.936,,,,,
9,8/6/2021 14:00,21.103,,,,,
10,8/6/2021 14:30,21.127,,,,,
11,8/6/2021 15:00,21.199,,,,,
12,8/6/2021 15:30,21.27,,,,,
13,8/6/2021 16:00,21.366,,,,,
14,8/6/2021 16:30,21.39,,,,,
15,8/6/2021 17:00,21.461,,,,,
16,8/6/2021 17:30,21.461,,,,,
17,8/6/2021 18:00,21.485,,,,,
18,8/6/2021 18:30,21.509,,,,,
19,8/6/2021 19:00,21.509,,,,,
20,8/6/2021 19:30,21.509,,,,,
21,8/6/2021 20:00,21.509,,,,,
22,8/6/2021 20:30,21.557,,,,,
23,8/6/2021 21:00,21.604,,,,,
24,8/6/2021 21:30,21.581,,,,,
25,8/6/2021 22:00,21.557,,,,,
26,8/6/2021 22:30,21.557,,,,,
27,8/6/2021 23:00,21.509,,,,,
28,8/6/2021 23:30,21.485,,,,,
29,8/7/2021 0:00,21.413,,,,,
30,8/7/2021 0:30,21.39,,,,,
31,8/7/2021 1:00,21.342,,,,,
32,8/7/2021 1:30,21.294,,,,,
33,8/7/2021 2:00,21.27,,,,,
34,8/7/2021 2:30,21.223,,,,,
35,8/7/2021 3:00,21.199,,,,,
36,8/7/2021 3:30,21.151,,,,,
37,8/7/2021 4:00,21.127,,,,,
38,8/7/2021 4:30,21.103,,,,,
39,8/7/2021 5:00,21.103,,,,,
40,8/7/2021 5:30,21.103,,,,,
41,8/7/2021 6:00,21.032,,,,,
42,8/7/2021 6:30,22.417,,,,,
43,8/7/2021 7:00,22.848,,,,,
44,8/7/2021 7:30,22.633,,,,,
45,8/7/2021 8:00,22.681,,,,,
46,8/7/2021 8:30,22.633,,,,,
47,8/7/2021 9:00,21.795,,,,,
48,8/7/2021 9:30,22.034,,,,,
49,8/7/2021 10:00,22.202,,,,,
50,8/7/2021 10:30,22.345,,,,,
51,8/7/2021 11:00,22.585,,,,,
52,8/7/2021 11:30,22.561,,,,,
53,8/7/2021 12:00,22.513,,,,,
54,8/7/2021 12:30,22.489,,,,,
55,8/7/2021 13:00,22.441,,,,,
56,8/7/2021 13:30,22.393,,,,,
57,8/7/2021 14:00,22.345,,,,,
58,8/7/2021 14:30,22.321,,,,,
59,8/7/2021 15:00,22.321,,,,,
60,8/7/2021 15:30,22.369,,,,,
61,8/7/2021 16:00,22.393,,,,,
62,8/7/2021 16:30,22.369,,,,,
63,8/7/2021 17:00,22.345,,,,,
64,8/7/2021 17:30,22.321,,,,,
65,8/7/2021 18:00,22.298,,,,,
66,8/7/2021 18:30,22.25,,,,,
67,8/7/2021 19:00,22.202,,,,,
68,8/7/2021 19:30,22.154,,,,,
69,8/7/2021 20:00,22.106,,,,,
70,8/7/2021 20:30,22.034,,,,,
71,8/7/2021 21:00,21.939,,,,,
72,8/7/2021 21:30,21.891,,,,,
73,8/7/2021 22:00,21.843,,,,,
74,8/7/2021 22:30,21.772,,,,,
75,8/7/2021 23:00,21.724,,,,,
76,8/7/2021 23:30,21.676,,,,,
77,8/8/2021 0:00,21.604,,,,,
78,8/8/2021 0:30,21.557,,,,,
79,8/8/2021 1:00,21.509,,,,,
80,8/8/2021 1:30,21.437,,,,,
81,8/8/2021 2:00,21.39,,,,,
82,8/8/2021 2:30,21.342,,,,,
83,8/8/2021 3:00,21.27,,,,,
84,8/8/2021 3:30,21.223,,,,,
85,8/8/2021 4:00,21.151,,,,,
86,8/8/2021 4:30,21.079,,,,,
87,8/8/2021 5:00,21.008,,,,,
88,8/8/2021 5:30,20.96,,,,,
89,8/8/2021 6:00,20.865,,,,,
90,8/8/2021 6:30,20.793,,,,,
91,8/8/2021 7:00,20.746,,,,,
92,8/8/2021 7:30,20.698,,,,,
93,8/8/2021 8:00,20.674,,,,,
94,8/8/2021 8:30,20.674,,,,,
95,8/8/2021 9:00,20.722,,,,,
96,8/8/2021 9:30,20.77,,,,,
97,8/8/2021 10:00,20.841,,,,,
98,8/8/2021 10:30,20.913,,,,,
99,8/8/2021 11:00,21.008,,,,,
100,8/8/2021 11:30,21.103,,,,,
101,8/8/2021 12:00,21.199,,,,,
102,8/8/2021 12:30,21.318,,,,,
103,8/8/2021 13:00,21.485,,,,,
104,8/8/2021 13:30,21.628,,,,,
105,8/8/2021 14:00,21.843,,,,,
106,8/8/2021 14:30,21.891,,,,,
107,8/8/2021 15:00,21.963,,,,,
108,8/8/2021 15:30,22.058,,,,,
109,8/8/2021 16:00,22.178,,,,,
110,8/8/2021 16:30,22.082,,,,,
111,8/8/2021 17:00,22.178,,,,,
112,8/8/2021 17:30,22.202,,,,,
113,8/8/2021 18:00,22.25,,,,,
114,8/8/2021 18:30,22.274,,,,,
115,8/8/2021 19:00,22.274,,,,,
116,8/8/2021 19:30,22.298,,,,,
117,8/8/2021 20:00,22.321,,,,,
118,8/8/2021 20:30,22.298,,,,,
119,8/8/2021 21:00,22.298,,,,,
120,8/8/2021 21:30,22.274,,,,,
121,8/8/2021 22:00,22.25,,,,,
122,8/8/2021 22:30,22.226,,,,,
123,8/8/2021 23:00,22.202,,,,,
124,8/8/2021 23:30,22.154,,,,,
125,8/9/2021 0:00,22.13,,,,,
126,8/9/2021 0:30,22.082,,,,,
127,8/9/2021 1:00,22.058,,,,,
128,8/9/2021 1:30,22.011,,,,,
129,8/9/2021 2:00,21.963,,,,,
130,8/9/2021 2:30,21.939,,,,,
131,8/9/2021 3:00,21.891,,,,,
132,8/9/2021 3:30,21.843,,,,,
133,8/9/2021 4:00,21.795,,,,,
134,8/9/2021 4:30,21.772,,,,,
135,8/9/2021 5:00,21.724,,,,,
136,8/9/2021 5:30,21.7,,,,,
137,8/9/2021 6:00,21.652,,,,,
138,8/9/2021 6:30,21.604,,,,,
139,8/9/2021 7:00,21.581,,,,,
140,8/9/2021 7:30,21.557,,,,,
141,8/9/2021 8:00,21.557,,,,,
142,8/9/2021 8:30,21.557,,,,,
143,8/9/2021 9:00,21.581,,,,,
144,8/9/2021 9:30,21.628,,,,,
145,8/9/2021 10:00,21.676,,,,,
146,8/9/2021 10:30,21.748,,,,,
147,8/9/2021 11:00,21.843,,,,,
148,8/9/2021 11:30,21.915,,,,,
149,8/9/2021 12:00,22.034,,,,,
150,8/9/2021 12:30,22.154,,,,,
151,8/9/2021 13:00,22.226,,,,,
152,8/9/2021 13:30,22.274,,,,,
153,8/9/2021 14:00,22.345,,,,,
154,8/9/2021 14:30,22.465,,,,,
155,8/9/2021 15:00,22.513,,,,,
156,8/9/2021 15:30,22.609,,,,,
157,8/9/2021 16:00,22.681,,,,,
158,8/9/2021 16:30,22.729,,,,,
159,8/9/2021 17:00,22.705,,,,,
160,8/9/2021 17:30,22.753,,,,,
