#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10167366, SEN S/N: 10167366)",Coupler Detached (LGR S/N: 10167366),Coupler Attached (LGR S/N: 10167366),Host Connected (LGR S/N: 10167366),End Of File (LGR S/N: 10167366)
1,3/19/2022 15:00,18.794,Logged,,,
2,3/19/2022 15:30,17.011,,,,
3,3/19/2022 16:00,16.844,,,,
4,3/19/2022 16:30,16.654,,,,
5,3/19/2022 17:00,16.439,,,,
6,3/19/2022 17:30,16.177,,,,
7,3/19/2022 18:00,15.939,,,,
8,3/19/2022 18:30,15.676,,,,
9,3/19/2022 19:00,15.438,,,,
10,3/19/2022 19:30,15.199,,,,
11,3/19/2022 20:00,14.96,,,,
12,3/19/2022 20:30,14.792,,,,
13,3/19/2022 21:00,14.601,,,,
14,3/19/2022 21:30,14.433,,,,
15,3/19/2022 22:00,14.314,,,,
16,3/19/2022 22:30,14.194,,,,
17,3/19/2022 23:00,14.074,,,,
18,3/19/2022 23:30,14.002,,,,
19,3/20/2022 0:00,13.906,,,,
20,3/20/2022 0:30,13.786,,,,
21,3/20/2022 1:00,13.69,,,,
22,3/20/2022 1:30,13.594,,,,
23,3/20/2022 2:00,13.497,,,,
24,3/20/2022 2:30,13.401,,,,
25,3/20/2022 3:00,13.281,,,,
26,3/20/2022 3:30,13.185,,,,
27,3/20/2022 4:00,13.088,,,,
28,3/20/2022 4:30,13.016,,,,
29,3/20/2022 5:00,12.92,,,,
30,3/20/2022 5:30,12.847,,,,
31,3/20/2022 6:00,12.775,,,,
32,3/20/2022 6:30,12.678,,,,
33,3/20/2022 7:00,12.606,,,,
34,3/20/2022 7:30,12.534,,,,
35,3/20/2022 8:00,12.461,,,,
36,3/20/2022 8:30,12.461,,,,
37,3/20/2022 9:00,12.509,,,,
38,3/20/2022 9:30,12.606,,,,
39,3/20/2022 10:00,12.727,,,,
40,3/20/2022 10:30,12.823,,,,
41,3/20/2022 11:00,13.016,,,,
42,3/20/2022 11:30,13.425,,,,
43,3/20/2022 12:00,13.882,,,,
44,3/20/2022 12:30,14.745,,,,
45,3/20/2022 13:00,15.008,,,,
46,3/20/2022 13:30,15.366,,,,
47,3/20/2022 14:00,15.533,,,,
48,3/20/2022 14:30,15.891,,,,
49,3/20/2022 15:00,15.843,,,,
50,3/20/2022 15:30,15.772,,,,
51,3/20/2022 16:00,15.414,,,,
52,3/20/2022 16:30,15.199,,,,
53,3/20/2022 17:00,15.008,,,,
54,3/20/2022 17:30,14.792,,,,
55,3/20/2022 18:00,14.601,,,,
56,3/20/2022 18:30,14.409,,,,
57,3/20/2022 19:00,14.266,,,,
58,3/20/2022 19:30,14.17,,,,
59,3/20/2022 20:00,14.098,,,,
60,3/20/2022 20:30,14.05,,,,
61,3/20/2022 21:00,14.05,,,,
62,3/20/2022 21:30,14.074,,,,
63,3/20/2022 22:00,14.122,,,,
64,3/20/2022 22:30,14.098,,,,
65,3/20/2022 23:00,14.074,,,,
66,3/20/2022 23:30,14.05,,,,
67,3/21/2022 0:00,14.05,,,,
68,3/21/2022 0:30,14.05,,,,
69,3/21/2022 1:00,14.026,,,,
70,3/21/2022 1:30,13.954,,,,
71,3/21/2022 2:00,13.882,,,,
72,3/21/2022 2:30,13.786,,,,
73,3/21/2022 3:00,13.642,,,,
