julian_date,temp_min,temp_max,temp_avg,prec_avg
1,36,51,44,0.3
2,36,51,42,0.09
3,43,50,47,0.29
4,32,51,43,0
5,29,52,39,0
6,29,50,41,0
7,26,45,36,0
8,32,38,37,0.21
9,27,48,36,0
10,22,50,36,0
11,27,44,36,0
12,35,55,42,0
13,24,55,40,0
14,35,54,43,0
15,31,49,39,0.12
16,27,45,35,0
17,26,48,36,0
18,29,48,38,0
19,26,54,38,0
20,29,51,44,0
21,32,54,41,0.01
22,38,58,46,0
23,29,48,40,0
24,26,45,35,0
25,37,44,43,0.6
26,35,44,39,0.31
27,37,55,48,0.33
28,25,38,36,0.26
29,22,40,29,0
30,24,42,32,0.04
31,31,34,33,0.75
32,30,43,34,0
33,30,41,35,0
34,28,49,35,0
35,22,50,37,0
36,37,55,44,0.04
37,25,51,40,0.15
38,31,51,38,0.51
39,24,50,36,0
40,40,64,48,0
41,42,49,47,0
42,33,48,45,0.77
43,29,33,32,0.31
44,30,33,31,0.93
45,32,37,34,0.3
46,33,36,34,0.97
47,29,51,40,0.03
48,24,43,32,0
49,30,36,33,0.82
50,31,48,36,0.15
51,25,44,34,0
52,22,44,32,0
53,32,49,37,0.43
54,27,64,45,0
55,34,69,52,0
56,42,66,56,0
57,37,53,48,0.8
58,36,53,41,0.03
59,46,71,53,0
60,44,66,61,0.28
61,35,49,43,0
62,30,63,44,0
63,35,66,53,0
64,34,52,46,0
65,32,54,43,0
66,28,51,41,0
67,28,61,44,0
68,33,70,51,0
69,37,73,56,0
70,47,74,60,0
71,51,76,63,0
72,54,66,61,0
73,39,69,58,0
74,44,53,51,0
75,37,46,42,0.25
76,41,58,46,0.01
77,47,61,51,1.12
78,38,54,48,0.42
79,31,54,42,0
80,39,63,50,0
81,41,67,53,0
82,47,60,54,0.03
83,54,67,57,0
84,49,69,59,1.21
85,61,81,68,0.24
86,54,75,64,0.37
87,50,71,63,0.37
88,39,61,51,0
89,41,71,55,0
90,52,65,62,0.86
91,34,52,49,0
92,29,49,38,0
93,27,58,42,0
94,38,74,54,0
95,43,76,62,0
96,46,81,66,0
97,51,83,69,0
98,55,82,69,0
99,58,81,69,0.37
100,56,77,64,0.16
101,54,75,66,0
102,48,78,64,0
103,52,73,62,0
104,51,81,66,0.03
105,49,67,62,0
106,39,66,54,0
107,43,64,55,0
108,49,70,59,0
109,47,68,57,0
110,42,73,58,0
111,37,71,59,0
112,32,58,44,0
113,33,62,48,0
114,43,58,51,0.75
115,49,69,57,0.12
116,44,75,59,0
117,51,81,65,0
118,61,83,71,0
119,67,83,74,0
120,62,77,71,0
121,46,72,62,0
122,48,79,63,0
123,64,74,68,1.07
124,64,83,69,0.15
125,59,81,70,0
126,49,69,60,0
127,48,67,58,0.02
128,42,72,58,0
129,49,78,62,0
130,58,78,69,0.71
131,53,67,60,0
132,44,57,53,0.09
133,43,68,54,0
134,41,71,57,0
135,44,74,59,0
136,52,70,60,0.01
137,55,67,60,0
138,55,73,63,0
139,53,79,67,0
140,53,83,69,0
141,58,80,70,0
142,53,86,71,0
143,67,89,77,0
144,65,90,78,0
145,66,84,74,0
146,68,90,78,0
147,66,88,78,0
148,66,89,77,0
149,53,79,71,0.97
150,51,67,57,0
151,51,74,62,0
152,54,78,66,0
153,62,79,70,0
154,69,81,72,0.01
155,66,85,74,0.02
156,61,88,75,0
157,67,88,77,0.15
158,68,86,75,0.84
159,69,84,73,0
160,70,87,77,0
161,71,84,76,0.86
162,69,82,75,1.27
163,68,79,72,0.01
164,67,82,72,0.02
165,64,89,75,0
166,67,83,76,0
167,61,83,73,0
168,58,81,71,0
169,59,87,73,0
170,69,89,79,0
171,68,82,74,0.19
172,69,90,78,0
173,61,78,75,0.46
174,60,78,68,0
175,58,78,68,0
176,56,78,68,0
177,68,85,74,0
178,70,87,77,0
179,69,88,79,0
180,69,87,78,0
181,71,92,80,0
182,71,88,80,0.27
183,64,83,74,1.17
184,56,80,70,0
185,57,84,73,0
186,66,89,77,0
187,68,90,80,0
188,67,90,80,0
189,71,80,76,0.41
190,69,90,77,0.01
191,70,88,77,0
192,70,90,80,0.01
193,72,90,81,0
194,69,89,79,0
195,69,88,77,0.36
196,68,90,77,0
197,72,90,80,0
198,70,92,79,0.28
199,69,85,74,0.85
200,67,79,72,1.82
201,66,84,74,0
202,66,88,76,0
203,68,85,76,0
204,66,87,75,0
205,68,85,76,0.07
206,69,88,77,0
207,73,89,79,0
208,71,91,79,0
209,72,92,82,0
210,71,95,82,0
211,75,92,83,0
212,70,88,80,0
213,70,84,78,0.39
214,64,84,74,0
215,66,79,72,0.01
216,64,81,71,0
217,60,84,72,0
218,62,86,74,0
219,67,80,72,0.84
220,64,89,75,0
221,68,88,79,0
222,73,91,80,0.05
223,71,93,80,0
224,70,92,78,0.67
225,68,92,79,0
226,70,93,81,0.54
227,70,86,74,0.58
228,71,86,74,0.09
229,70,81,74,0.6
230,73,88,78,0.11
231,70,90,80,0.07
232,70,88,79,0
233,67,88,76,0
234,70,89,78,0.05
235,70,90,78,0
236,72,93,82,0
237,72,91,83,0.01
238,71,90,79,0.02
239,72,90,80,0
240,70,91,80,0
241,69,90,80,0
242,69,93,81,0
243,70,88,79,0
244,69,82,75,1
245,60,79,71,0
246,56,79,67,0
247,56,81,69,0
248,61,84,72,0
249,65,83,74,0
250,59,86,73,0
251,67,83,74,0.51
252,64,79,72,0
253,57,78,69,0
254,58,81,69,0
255,58,84,71,0
256,63,87,74,0
257,65,87,76,0
258,63,85,74,0
259,70,80,74,0.01
260,70,83,74,0
261,67,86,76,0
262,66,88,76,0
263,67,82,74,0
264,65,71,68,1.18
265,60,81,73,0.98
266,53,72,63,0
267,48,72,60,0
268,48,76,62,0
269,52,75,64,0
270,52,81,65,0
271,57,83,69,0
272,61,84,72,0
273,60,78,68,0
274,55,78,65,0
275,57,81,69,0
276,61,81,70,0
277,65,79,71,0.15
278,66,80,72,0.07
279,67,77,70,0.06
280,65,71,68,0.82
281,64,69,66,0.13
282,62,70,65,0.16
283,60,74,66,0
284,62,70,65,0
285,61,76,67,0
286,58,81,68,0
287,59,81,70,0
288,60,83,70,0
289,52,79,68,0
290,43,66,55,0
291,42,70,55,0
292,43,73,58,0
293,43,78,60,0
294,48,77,61,0
295,55,75,67,0.02
296,48,72,59,0
297,49,75,60,0
298,57,76,66,0.65
299,47,68,59,0
300,42,69,53,0
301,46,68,56,0.7
302,52,66,60,0.04
303,50,60,54,0
304,49,69,56,0
305,43,68,56,0
306,44,59,52,0
307,43,54,47,0
308,37,46,44,0.01
309,32,52,41,0
310,33,54,43,0
311,40,61,51,0
312,40,71,53,0
313,37,76,55,0
314,43,77,60,0
315,44,70,56,0.02
316,47,68,62,0.21
317,37,60,51,0
318,29,54,41,0
319,33,52,44,0
320,30,65,46,0
321,40,72,55,0
322,48,74,60,0
323,34,52,48,0
324,28,49,38,0
325,27,56,41,0
326,38,59,52,0.04
327,28,47,39,0
328,24,50,37,0
329,30,62,43,0
330,30,51,47,0.02
331,28,53,39,0
332,33,60,45,0
333,27,47,43,0
334,26,58,38,0
335,31,63,48,0
336,42,69,54,0
337,45,73,59,0
338,44,72,57,0
339,44,61,53,0
340,50,69,58,0
341,34,50,45,0
342,38,51,44,0
343,31,44,38,0
344,41,57,45,0
345,51,72,57,0.73
346,33,52,48,0
347,26,57,39,0
348,31,60,45,0
349,31,57,43,0
350,34,67,48,0
351,50,69,60,0
352,53,64,58,0.32
353,34,63,54,0.49
354,27,42,35,0
355,29,40,34,0
356,33,56,44,0
357,26,51,39,0
358,35,61,44,0
359,50,69,57,0
360,48,72,60,0
361,45,60,52,0
362,47,71,58,0
363,63,70,65,0
364,61,65,64,0.06
365,54,66,61,0
